ilce,tur,ad,dosya,longitude,latitude
BAYINDIR,MAHALLE,DERNEKLİ,BAYINDIR_DERNEKLİ_mahalle_siniri.kml,27.544025045179545,38.26582333344905
BAYINDIR,MAHALLE,ELİFLİ,BAYINDIR_ELİFLİ_mahalle_siniri.kml,27.579912736117915,38.180129951811814
BAYINDIR,MAHALLE,ERGENLİ,BAYINDIR_ERGENLİ_mahalle_siniri.kml,27.685597620791306,38.2327717295955
BAYINDIR,MAHALLE,FATİH,BAYINDIR_FATİH_mahalle_siniri.kml,27.655126111769217,38.17859623304769
BAYINDIR,MAHALLE,KARAVELİLER,BAYINDIR_KARAVELİLER_mahalle_siniri.kml,27.540523681976683,38.18754252736852
BAYINDIR,MAHALLE,YAKACIK,BAYINDIR_YAKACIK_mahalle_siniri.kml,27.697018415869984,38.18403814473668
BAYRAKLI,MAHALLE,BAYRAKLI,BAYRAKLI_BAYRAKLI_mahalle_siniri.kml,27.17163772576961,38.48337017773918
BAYRAKLI,MAHALLE,DOĞANÇAY,BAYRAKLI_DOĞANÇAY_mahalle_siniri.kml,27.160828652324742,38.50181876843115
BAYRAKLI,MAHALLE,EMEK,BAYRAKLI_EMEK_mahalle_siniri.kml,27.12520446801071,38.47077341658809
BAYRAKLI,İLÇE,BAYRAKLI,BAYRAKLI_ilce_siniri.kml,27.15974867377904,38.48559409563145
BAYRAKLI,MAHALLE,MANAVKUYU,BAYRAKLI_MANAVKUYU_mahalle_siniri.kml,27.19199071396889,38.46206261706498
BAYRAKLI,MAHALLE,MANSUROĞLU,BAYRAKLI_MANSUROĞLU_mahalle_siniri.kml,27.19021371416524,38.45475897567532
BAYRAKLI,MAHALLE,ONUR,BAYRAKLI_ONUR_mahalle_siniri.kml,27.134109444239105,38.49311745244556
BAYRAKLI,MAHALLE,ORG  NAFİZ GÜRMAN,BAYRAKLI_ORG__NAFİZ_GÜRMAN_mahalle_siniri.kml,27.139404786978222,38.48111974803483
BAYRAKLI,MAHALLE,OSMANGAZİ,BAYRAKLI_OSMANGAZİ_mahalle_siniri.kml,27.188900841531026,38.4707582280116
BAYRAKLI,MAHALLE,POSTACILAR,BAYRAKLI_POSTACILAR_mahalle_siniri.kml,27.122960802803277,38.48929047956775
BAYRAKLI,MAHALLE,SALHANE,BAYRAKLI_SALHANE_mahalle_siniri.kml,27.174915262571183,38.45663261484904
BAYRAKLI,MAHALLE,SOĞUKKUYU,BAYRAKLI_SOĞUKKUYU_mahalle_siniri.kml,27.118208116861364,38.47466616221432
BAYRAKLI,MAHALLE,TURAN,BAYRAKLI_TURAN_mahalle_siniri.kml,27.144302373423393,38.47139842102097
BAYRAKLI,MAHALLE,YAMANLAR,BAYRAKLI_YAMANLAR_mahalle_siniri.kml,27.134482280584592,38.48279181509094
BAYRAKLI,MAHALLE,ÇAY,BAYRAKLI_ÇAY_mahalle_siniri.kml,27.181200420121034,38.47039565873893
BERGAMA,MAHALLE,ÇALTIKORU,BERGAMA_ÇALTIKORU_mahalle_siniri.kml,27.332247258030606,39.23737613363429
BERGAMA,MAHALLE,ÇAMAVLU,BERGAMA_ÇAMAVLU_mahalle_siniri.kml,27.16220970532666,39.34230090829104
BERGAMA,MAHALLE,ÇAMKÖY,BERGAMA_ÇAMKÖY_mahalle_siniri.kml,27.082131442920275,39.07683430143983
BERGAMA,MAHALLE,ÇAMOBA,BERGAMA_ÇAMOBA_mahalle_siniri.kml,27.396516443001747,39.25115113545428
BERGAMA,MAHALLE,ÇAMTEPE,BERGAMA_ÇAMTEPE_mahalle_siniri.kml,27.23113917596631,39.21246444860658
BERGAMA,MAHALLE,ÇELTİKÇİ,BERGAMA_ÇELTİKÇİ_mahalle_siniri.kml,27.30605558658434,39.26433560220465
BERGAMA,MAHALLE,ÇOBANLAR,BERGAMA_ÇOBANLAR_mahalle_siniri.kml,27.237234927937212,39.31533564868721
BERGAMA,MAHALLE,ÇÜRÜKBAĞ,BERGAMA_ÇÜRÜKBAĞ_mahalle_siniri.kml,27.22517005895988,39.26236909676446
BERGAMA,MAHALLE,ÇİTKÖY,BERGAMA_ÇİTKÖY_mahalle_siniri.kml,27.277384933638523,39.17818312555196
BERGAMA,MAHALLE,ÖKSÜZLER,BERGAMA_ÖKSÜZLER_mahalle_siniri.kml,27.253138821158917,38.98028147236332
BERGAMA,MAHALLE,ÖRENLİ,BERGAMA_ÖRENLİ_mahalle_siniri.kml,27.2716388502581,39.2221600012915
BERGAMA,MAHALLE,ÖRLEMİŞ,BERGAMA_ÖRLEMİŞ_mahalle_siniri.kml,27.117904620101232,38.93456567439015
BERGAMA,MAHALLE,ÜRKÜTLER,BERGAMA_ÜRKÜTLER_mahalle_siniri.kml,27.3716263041464,39.357538263898824
BERGAMA,MAHALLE,ÜÇTEPE,BERGAMA_ÜÇTEPE_mahalle_siniri.kml,27.21718909141617,39.244906748117685
BERGAMA,MAHALLE,İKİZLER,BERGAMA_İKİZLER_mahalle_siniri.kml,27.304730716981695,39.355826523257484
BERGAMA,MAHALLE,İNCECİKLER,BERGAMA_İNCECİKLER_mahalle_siniri.kml,27.15473593896959,39.19875570757924
BERGAMA,MAHALLE,İNEŞİR,BERGAMA_İNEŞİR_mahalle_siniri.kml,27.393059255375565,39.342924323062924
BERGAMA,MAHALLE,İNKİLAP,BERGAMA_İNKİLAP_mahalle_siniri.kml,27.180662899512647,39.11737556150186
BERGAMA,MAHALLE,İSLAMSARAY,BERGAMA_İSLAMSARAY_mahalle_siniri.kml,27.225423035088653,39.109596657686474
BERGAMA,MAHALLE,İSMAİLLİ,BERGAMA_İSMAİLLİ_mahalle_siniri.kml,27.193382142371707,38.93444739632892
BERGAMA,MAHALLE,DEREKÖY,BERGAMA_DEREKÖY_mahalle_siniri.kml,27.33432773033778,39.284689073151334
BERGAMA,MAHALLE,DOĞANCI,BERGAMA_DOĞANCI_mahalle_siniri.kml,27.315221647169682,39.20258414167045
BERGAMA,MAHALLE,DURMUŞLAR,BERGAMA_DURMUŞLAR_mahalle_siniri.kml,27.373681378017437,39.258836672393564
BERGAMA,MAHALLE,ERTUĞRUL,BERGAMA_ERTUĞRUL_mahalle_siniri.kml,27.148965041951463,39.08450108557712
BERGAMA,MAHALLE,EĞRİGÖL,BERGAMA_EĞRİGÖL_mahalle_siniri.kml,27.118128037665304,39.05064205463741
BERGAMA,MAHALLE,EĞİLLER,BERGAMA_EĞİLLER_mahalle_siniri.kml,27.33647628375443,39.258891671358654
BERGAMA,MAHALLE,FATİH,BERGAMA_FATİH_mahalle_siniri.kml,27.173077218766235,39.102532147274076
BERGAMA,MAHALLE,FERİZLER,BERGAMA_FERİZLER_mahalle_siniri.kml,27.30004667599154,39.17926068293742
BERGAMA,MAHALLE,FEVZİPAŞA,BERGAMA_FEVZİPAŞA_mahalle_siniri.kml,27.206403495093003,39.0960068530801
BERGAMA,MAHALLE,GAYLAN,BERGAMA_GAYLAN_mahalle_siniri.kml,27.195477740147787,39.03762430260509
